Collision detected: CollisionEvent(frame=112190, timestamp=2014.633122, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112200, timestamp=2014.803239, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112200, timestamp=2014.803239, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112201, timestamp=2014.821258, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112201, timestamp=2014.821258, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112202, timestamp=2014.838473, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112202, timestamp=2014.838473, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112203, timestamp=2014.855515, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112203, timestamp=2014.855515, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112204, timestamp=2014.871621, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112204, timestamp=2014.871621, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112205, timestamp=2014.888250, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112205, timestamp=2014.888250, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112206, timestamp=2014.906050, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112206, timestamp=2014.906050, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112207, timestamp=2014.924305, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112207, timestamp=2014.924305, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112208, timestamp=2014.941933, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112208, timestamp=2014.941933, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112209, timestamp=2014.960269, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112209, timestamp=2014.960269, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112210, timestamp=2014.976618, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112210, timestamp=2014.976618, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112211, timestamp=2014.993580, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112211, timestamp=2014.993580, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112212, timestamp=2015.010764, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112212, timestamp=2015.010764, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112213, timestamp=2015.028988, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112213, timestamp=2015.028988, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112214, timestamp=2015.046096, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112215, timestamp=2015.062816, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112215, timestamp=2015.062816, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112216, timestamp=2015.079342, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112216, timestamp=2015.079342, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112217, timestamp=2015.096213, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112217, timestamp=2015.096213, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112218, timestamp=2015.114232, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112218, timestamp=2015.114232, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112219, timestamp=2015.132900, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112219, timestamp=2015.132900, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112220, timestamp=2015.149523, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112220, timestamp=2015.149523, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112221, timestamp=2015.166409, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112221, timestamp=2015.166409, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112222, timestamp=2015.183925, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112222, timestamp=2015.183925, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112223, timestamp=2015.200775, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112224, timestamp=2015.217307, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112224, timestamp=2015.217307, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112225, timestamp=2015.234175, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112225, timestamp=2015.234175, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112226, timestamp=2015.251874, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112226, timestamp=2015.251874, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112227, timestamp=2015.269383, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112227, timestamp=2015.269383, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112228, timestamp=2015.287442, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112228, timestamp=2015.287442, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112229, timestamp=2015.304476, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112229, timestamp=2015.304476, other_actor=0000012136CC8CC0)
