LidarMeasurement(frame=94508, timestamp=1687.991947, number_of_points=588)
LidarMeasurement(frame=94509, timestamp=1688.026131, number_of_points=960)
LidarMeasurement(frame=94510, timestamp=1688.053967, number_of_points=780)
LidarMeasurement(frame=94511, timestamp=1688.075424, number_of_points=544)
LidarMeasurement(frame=94512, timestamp=1688.100241, number_of_points=697)
LidarMeasurement(frame=94513, timestamp=1688.130532, number_of_points=821)
LidarMeasurement(frame=94514, timestamp=1688.163328, number_of_points=846)
LidarMeasurement(frame=94515, timestamp=1688.185817, number_of_points=611)
LidarMeasurement(frame=94516, timestamp=1688.211068, number_of_points=598)
LidarMeasurement(frame=94517, timestamp=1688.231536, number_of_points=557)
LidarMeasurement(frame=94518, timestamp=1688.253334, number_of_points=644)
LidarMeasurement(frame=94519, timestamp=1688.274453, number_of_points=604)
LidarMeasurement(frame=94520, timestamp=1688.293147, number_of_points=561)
LidarMeasurement(frame=94521, timestamp=1688.316155, number_of_points=535)
LidarMeasurement(frame=94522, timestamp=1688.337541, number_of_points=629)
LidarMeasurement(frame=94523, timestamp=1688.361667, number_of_points=701)
LidarMeasurement(frame=94524, timestamp=1688.382854, number_of_points=604)
LidarMeasurement(frame=94525, timestamp=1688.406415, number_of_points=586)
LidarMeasurement(frame=94526, timestamp=1688.429735, number_of_points=659)
LidarMeasurement(frame=94527, timestamp=1688.456590, number_of_points=790)
LidarMeasurement(frame=94528, timestamp=1688.478537, number_of_points=597)
LidarMeasurement(frame=94529, timestamp=1688.500186, number_of_points=576)
LidarMeasurement(frame=94530, timestamp=1688.521424, number_of_points=517)
LidarMeasurement(frame=94531, timestamp=1688.543707, number_of_points=692)
LidarMeasurement(frame=94532, timestamp=1688.568019, number_of_points=696)
LidarMeasurement(frame=94533, timestamp=1688.588940, number_of_points=574)
LidarMeasurement(frame=94534, timestamp=1688.609946, number_of_points=453)
LidarMeasurement(frame=94535, timestamp=1688.632004, number_of_points=611)
LidarMeasurement(frame=94536, timestamp=1688.653915, number_of_points=616)
LidarMeasurement(frame=94537, timestamp=1688.675338, number_of_points=571)
LidarMeasurement(frame=94538, timestamp=1688.698681, number_of_points=602)
LidarMeasurement(frame=94539, timestamp=1688.721350, number_of_points=500)
LidarMeasurement(frame=94540, timestamp=1688.743308, number_of_points=614)
LidarMeasurement(frame=94541, timestamp=1688.768900, number_of_points=662)
LidarMeasurement(frame=94542, timestamp=1688.789268, number_of_points=580)
LidarMeasurement(frame=94543, timestamp=1688.807917, number_of_points=408)
LidarMeasurement(frame=94544, timestamp=1688.829897, number_of_points=561)
LidarMeasurement(frame=94545, timestamp=1688.846106, number_of_points=430)
LidarMeasurement(frame=94546, timestamp=1688.862492, number_of_points=416)
LidarMeasurement(frame=94547, timestamp=1688.880411, number_of_points=479)
LidarMeasurement(frame=94548, timestamp=1688.896325, number_of_points=408)
LidarMeasurement(frame=94549, timestamp=1688.913604, number_of_points=373)
LidarMeasurement(frame=94550, timestamp=1688.930268, number_of_points=436)
LidarMeasurement(frame=94551, timestamp=1688.946858, number_of_points=476)
LidarMeasurement(frame=94552, timestamp=1688.964811, number_of_points=453)
LidarMeasurement(frame=94553, timestamp=1688.981037, number_of_points=427)
LidarMeasurement(frame=94554, timestamp=1688.997746, number_of_points=432)
LidarMeasurement(frame=94555, timestamp=1689.017875, number_of_points=476)
