RadarMeasurement(frame=94509, timestamp=1688.026131, point_count=29)
RadarMeasurement(frame=94510, timestamp=1688.053967, point_count=22)
RadarMeasurement(frame=94511, timestamp=1688.075424, point_count=15)
RadarMeasurement(frame=94512, timestamp=1688.100241, point_count=20)
RadarMeasurement(frame=94513, timestamp=1688.130532, point_count=26)
RadarMeasurement(frame=94514, timestamp=1688.163328, point_count=32)
RadarMeasurement(frame=94515, timestamp=1688.185817, point_count=16)
RadarMeasurement(frame=94516, timestamp=1688.211068, point_count=28)
RadarMeasurement(frame=94517, timestamp=1688.231536, point_count=26)
RadarMeasurement(frame=94518, timestamp=1688.253334, point_count=26)
RadarMeasurement(frame=94519, timestamp=1688.274453, point_count=22)
RadarMeasurement(frame=94520, timestamp=1688.293147, point_count=26)
RadarMeasurement(frame=94521, timestamp=1688.316155, point_count=28)
RadarMeasurement(frame=94522, timestamp=1688.337541, point_count=28)
RadarMeasurement(frame=94523, timestamp=1688.361667, point_count=31)
RadarMeasurement(frame=94524, timestamp=1688.382854, point_count=26)
RadarMeasurement(frame=94525, timestamp=1688.406415, point_count=30)
RadarMeasurement(frame=94526, timestamp=1688.429735, point_count=28)
RadarMeasurement(frame=94527, timestamp=1688.456590, point_count=33)
RadarMeasurement(frame=94528, timestamp=1688.478537, point_count=22)
RadarMeasurement(frame=94529, timestamp=1688.500186, point_count=29)
RadarMeasurement(frame=94530, timestamp=1688.521424, point_count=26)
RadarMeasurement(frame=94531, timestamp=1688.543707, point_count=24)
RadarMeasurement(frame=94532, timestamp=1688.568019, point_count=29)
RadarMeasurement(frame=94533, timestamp=1688.588940, point_count=26)
RadarMeasurement(frame=94534, timestamp=1688.609946, point_count=23)
RadarMeasurement(frame=94535, timestamp=1688.632004, point_count=25)
RadarMeasurement(frame=94536, timestamp=1688.653915, point_count=24)
RadarMeasurement(frame=94537, timestamp=1688.675338, point_count=25)
RadarMeasurement(frame=94538, timestamp=1688.698681, point_count=25)
RadarMeasurement(frame=94539, timestamp=1688.721350, point_count=29)
RadarMeasurement(frame=94540, timestamp=1688.743308, point_count=23)
RadarMeasurement(frame=94541, timestamp=1688.768900, point_count=31)
RadarMeasurement(frame=94542, timestamp=1688.789268, point_count=22)
RadarMeasurement(frame=94543, timestamp=1688.807917, point_count=20)
RadarMeasurement(frame=94544, timestamp=1688.829897, point_count=21)
RadarMeasurement(frame=94545, timestamp=1688.846106, point_count=18)
RadarMeasurement(frame=94546, timestamp=1688.862492, point_count=19)
RadarMeasurement(frame=94547, timestamp=1688.880411, point_count=20)
RadarMeasurement(frame=94548, timestamp=1688.896325, point_count=17)
RadarMeasurement(frame=94549, timestamp=1688.913604, point_count=19)
RadarMeasurement(frame=94550, timestamp=1688.930268, point_count=19)
RadarMeasurement(frame=94551, timestamp=1688.946858, point_count=18)
RadarMeasurement(frame=94552, timestamp=1688.964811, point_count=20)
RadarMeasurement(frame=94553, timestamp=1688.981037, point_count=20)
RadarMeasurement(frame=94554, timestamp=1688.997746, point_count=21)
RadarMeasurement(frame=94555, timestamp=1689.017875, point_count=22)
RadarMeasurement(frame=94556, timestamp=1689.035730, point_count=17)
RadarMeasurement(frame=94557, timestamp=1689.053558, point_count=19)
RadarMeasurement(frame=94558, timestamp=1689.069786, point_count=17)
RadarMeasurement(frame=94559, timestamp=1689.087379, point_count=23)
RadarMeasurement(frame=94560, timestamp=1689.104648, point_count=15)
RadarMeasurement(frame=94561, timestamp=1689.122604, point_count=22)
RadarMeasurement(frame=94562, timestamp=1689.139148, point_count=20)
RadarMeasurement(frame=94563, timestamp=1689.157212, point_count=21)
